route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
651,200,A0651,BILBAO-BALMASEDA,A0651-BILBAO-BALMASEDA,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A0651&numRuta=001,9CCD64,01573C,1,1,1
652,200,A0652,LANESTOSA-BALMASEDA,A0652-LANESTOSA-BALMASEDA,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A0652&numRuta=001,9CCD64,01573C,2,1,1
653,200,A0653,TRUCIOS TURTZIOZ-ARTZENTALES,A0653-TRUCIOS TURTZIOZ-ARTZENTALES,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A0653&numRuta=001,9CCD64,01573C,3,1,1
654,200,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,A0654-BALMASEDA - Gurutzeta/Cruces - UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A0654&numRuta=001,9CCD64,01573C,4,1,1
2151,200,A2151,Areeta/Las Arenas-LARRABETZU,A2151-Areeta/Las Arenas-LARRABETZU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2151&numRuta=001,9CCD64,01573C,5,1,1
2153,200,A2153,BILBAO-TXORIERRI-LARRABETZU,A2153-BILBAO-TXORIERRI-LARRABETZU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2153&numRuta=001,9CCD64,01573C,6,1,1
2161,200,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,A2161-Bizkaia Zubia/Puente Bizkaia - UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2161&numRuta=001,9CCD64,01573C,7,1,1
2162,200,A2162,Andramari/Santa María Getxo - UPV/EHU (Algorta),A2162-Andramari/Santa María Getxo - UPV/EHU (Algorta),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2162&numRuta=001,9CCD64,01573C,8,1,1
2163,200,A2163,ERANDIO-UPV/EHU,A2163-ERANDIO-UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2163&numRuta=001,9CCD64,01573C,9,1,1
2164,200,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),A2164-Andramari/Santa Maria Getxo - UPV/EHU (Fadura),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2164&numRuta=001,9CCD64,01573C,10,1,1
2166,200,A2166,URIBE KOSTA – UPV/EHU,A2166-URIBE KOSTA – UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2166&numRuta=001,9CCD64,01573C,11,1,1
2312,200,A2312,Zabalburu-UPV/EHU (Juan de Garay),A2312-Zabalburu-UPV/EHU (Juan de Garay),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2312&numRuta=001,9CCD64,01573C,12,1,1
2314,200,A2314,Bilbao-Erandiogoikoa-UPV/EHU,A2314-Bilbao-Erandiogoikoa-UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2314&numRuta=001,9CCD64,01573C,13,1,1
2315,200,A2315,SANTURTZI-PORTUGALETE-UPV/EHU,A2315-SANTURTZI-PORTUGALETE-UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2315&numRuta=001,9CCD64,01573C,14,1,1
2316,200,A2316,SESTAO-UPV/EHU,A2316-SESTAO-UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2316&numRuta=001,9CCD64,01573C,15,1,1
2318,200,A2318,Termibus-UPV/EHU (Autopista),A2318-Termibus-UPV/EHU (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2318&numRuta=001,9CCD64,01573C,16,1,1
2321,200,A2321,Santutxu-UPV/EHU (Autopista),A2321-Santutxu-UPV/EHU (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2321&numRuta=001,9CCD64,01573C,17,1,1
2322,200,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,A2322-BILBAO - ERANDIO - Astrabudua - UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2322&numRuta=001,9CCD64,01573C,18,1,1
2324,200,A2324,BILBAO-UPV/EHU (Enekuri),A2324-BILBAO-UPV/EHU (Enekuri),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2324&numRuta=001,9CCD64,01573C,19,1,1
2326,200,A2326,BARAKALDO-UPV/EHU,A2326-BARAKALDO-UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2326&numRuta=001,9CCD64,01573C,20,1,1
2336,200,A2336,MUSKIZ-UPV/EHU,A2336-MUSKIZ-UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2336&numRuta=001,9CCD64,01573C,21,1,1
2610,200,A2610,GALDAKAO - UPV/EHU,A2610-GALDAKAO - UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2610&numRuta=001,9CCD64,01573C,22,1,1
2611,200,A2611,UGAO MIRABALLES-BASAURI-ETXEBARRI-UPV/EHU,A2611-UGAO MIRABALLES-BASAURI-ETXEBARRI-UPV/EHU,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A2611&numRuta=001,9CCD64,01573C,23,1,1
3115,200,A3115,BILBAO-SANTURTZI,A3115-BILBAO-SANTURTZI,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3115&numRuta=001,9CCD64,01573C,24,1,1
3122,200,A3122,BILBAO-SESTAO-Errepelega/Repelega,A3122-BILBAO-SESTAO-Errepelega/Repelega,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3122&numRuta=001,9CCD64,01573C,25,1,1
3129,200,A3129,Lutxana-Gurutzeta/Cruces-SANTURTZI,A3129-Lutxana-Gurutzeta/Cruces-SANTURTZI,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3129&numRuta=001,9CCD64,01573C,26,1,1
3135,200,A3135,SESTAO-Cabieces,A3135-SESTAO-Cabieces,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3135&numRuta=001,9CCD64,01573C,27,1,1
3136,200,A3136,BILBAO-BARAKALDO-SANTURTZI,A3136-BILBAO-BARAKALDO-SANTURTZI,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3136&numRuta=001,9CCD64,01573C,28,1,1
3137,200,A3137,BILBAO-BARAKALDO,A3137-BILBAO-BARAKALDO,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3137&numRuta=001,9CCD64,01573C,29,1,1
3141,200,A3141,Gurutzeta/Cruces-Bagatza-VALLE DE TRAPAGA TRAPAGARAN,A3141-Gurutzeta/Cruces-Bagatza-VALLE DE TRAPAGA TRAPAGARAN,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3141&numRuta=001,9CCD64,01573C,30,1,1
3144,200,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),A3144-BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3144&numRuta=001,9CCD64,01573C,31,1,1
3151,200,A3151,BILBAO-SANTURTZI-PORTUGALETE (Autopista),A3151-BILBAO-SANTURTZI-PORTUGALETE (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3151&numRuta=001,9CCD64,01573C,32,1,1
3223,200,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),A3223-BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3223&numRuta=001,9CCD64,01573C,33,1,1
3224,200,A3224,BILBAO - DERIO - Teknologia Parkea/Parque Tecnológico,A3224-BILBAO - DERIO - Teknologia Parkea/Parque Tecnológico,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3224&numRuta=001,9CCD64,01573C,34,1,1
3225,200,A3225,BILBAO - LAUKIZ - MUNGIA,A3225-BILBAO - LAUKIZ - MUNGIA,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3225&numRuta=001,9CCD64,01573C,35,1,1
3247,200,A3247,BILBAO - Aireportua/Aeropuerto,A3247-BILBAO - Aireportua/Aeropuerto,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3247&numRuta=001,9CCD64,01573C,36,1,1
3250,200,A3250,BILBAO-TEKNOLOGIA PARKEA (Artxandako tunelak),A3250-BILBAO-TEKNOLOGIA PARKEA (Artxandako tunelak),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3250&numRuta=001,9CCD64,01573C,37,1,1
